icgc_sample_id,gene_symbol,# mutations at gene
SA26444,TBP,5
SA26444,PHF24,4
SA26444,CIT,9
SA26444,CUL4A,6
SA26444,TPM3,4
SA26444,SH3KBP1,5
SA26444,CACNA1C,23
SA26444,EME1,6
SA26444,DIP2A,10
SA26444,ZNF714,9
SA26444,DENND2D,7
SA26444,BSN,1
SA26444,DSCAM,1
SA26444,RNF26,1
SA26444,KCNJ12,2
SA26444,EIF4ENIF1,7
SA26444,DRG1,1
SA26444,DNER,1
SA26444,PEG3,7
SA26444,RNA5SP469,1
SA26444,LEUTX,1
SA26444,CROCCP2,2
SA26444,MIR190B,1
SA26444,FAM19A5,4
SA26444,C1QTNF5,3
SA26444,MFRP,3
SA26444,,1
SA26444,CACNA1C-AS1,1
SA26444,ETV3L,1
SA26444,ZIM2,8
SA26559,DIP2B,2
SA26559,DIS3,5
SA26559,LTBP4,33
SA26559,ESR1,11
SA26559,MAP3K1,1
SA26559,USP11,12
SA26559,MMP15,2
SA26559,MYEF2,7
SA26559,GATA3,3
SA26559,SLC12A5,5
SA26559,WRNIP1,4
SA26559,ATXN1,2
SA26559,ACTN4,8
SA26559,MYO7A,4
SA26559,GDPD1,6
SA26559,SPTA1,2
SA26559,SLC38A8,2
SA26559,SNX20,4
SA26559,CAPN12,7
SA26559,SLC24A5,3
SA26559,OR10Z1,1
SA26559,HLA-A,8
SA26559,NUTM2D,3
SA26559,HCG4P5,1
SA26559,,1
SA26559,MGAM,2
SA26559,,2
SA26631,CD22,5
SA26631,MNAT1,6
SA26631,TIE1,7
SA26631,IDH3G,11
SA26631,ARHGAP10,7
SA26631,TXK,4
SA26631,CELSR1,4
SA26631,APBB1IP,2
SA26631,CADPS2,4
SA26631,PLEKHG2,10
SA26631,TGM1,4
SA26631,NARFL,22
SA26631,HAGHL,2
SA26631,SALL1,6
SA26631,ECH1,10
SA26631,ATG2A,4
SA26631,HDLBP,25
SA26631,TMEM214,26
SA26631,ACAT2,3
SA26631,TGFBI,11
SA26631,CRY2,8
SA26631,PEX16,1
SA26631,PIK3CA,2
SA26631,FFAR1,1
SA26631,KCNA5,1
SA26631,FMO5,7
SA26631,PDHA1,13
SA26631,PDE6A,2
SA26631,RANBP6,1
SA26631,PIF1,8
SA26631,C16orf58,10
SA26631,KATNB1,8
SA26631,KIFC3,13
SA26631,TP53,17
SA26631,NAT8,1
SA26631,DDIT4L,3
SA26631,USP53,4
SA26631,NXF3,9
SA26631,LRP12,5
SA26631,MKI67,3
SA26631,UBC,14
SA26631,TMEM18,7
SA26631,CENPJ,3
SA26631,PLCL2,5
SA26631,SPAG17,4
SA26631,SHANK2,20
SA26631,ALMS1P1,1
SA26631,ADGRV1,2
SA26631,SLC7A3,2
SA26631,LARGE2,12
SA26631,ZNF3,1
SA26631,ZSCAN21,4
SA26631,ISLR2,13
SA26631,UPF3A,10
SA26631,UMOD,15
SA26631,CDC42BPG,4
SA26631,LGALS4,5
SA26631,OR5A1,1
SA26631,XCR1,3
SA26631,ZWILCH,9
SA26631,RPL4,17
SA26631,ZCCHC12,1
SA26631,SMIM19,8
SA26631,DCAF4L2,1
SA26631,GRIN1,12
SA26631,SSR4,10
SA26631,MUC16,1
SA26631,KIAA2026,3
SA26631,EP400,5
SA26631,NUDT14,6
SA26631,CLECL1,2
SA26631,SRPK3,7
SA26631,JAG2,2
SA26631,YTHDF3,14
SA26631,BICD2,4
SA26631,BPIFB4,2
SA26631,MYT1L,5
SA26631,RNF133,1
SA26631,MAML3,4
SA26631,IGF2R,1
SA26631,HELZ,8
SA26631,UNC13B,4
SA26631,SNORD18C,1
SA26631,SNORD16,1
SA26631,SNORD18A,1
SA26631,SNORD18B,1
SA26631,EML6,4
SA26631,PRRT4,8
SA26631,CCT8P1,1
SA26631,,1
SA26631,NRBF2P2,1
SA26631,,2
SA26631,RNF148,2
SA26631,,2
SA26631,,1
SA26631,,2
SA26631,,1
SA26631,,1
SA26631,,1
SA26631,MIR4665,1
SA26631,MIR5188,1
SA26631,,2
SA26631,,1
SA26631,,1
SA26703,ABCB4,8
SA26703,ZNF263,8
SA26703,FMO1,7
SA26703,BRCA1,18
SA26703,MYO16,4
SA26703,VPS13D,5
SA26703,ATP9A,3
SA26703,GYG2,8
SA26703,KIF2A,8
SA26703,STK10,9
SA26703,SMC1B,2
SA26703,GSTP1,9
SA26703,TCF20,3
SA26703,APMAP,3
SA26703,TJP1,5
SA26703,LILRB1,3
SA26703,LILRA1,5
SA26703,DOCK8,6
SA26703,IMPG1,2
SA26703,CEP350,6
SA26703,GCC2,8
SA26703,TP53,17
SA26703,CNKSR1,12
SA26703,FAM171B,1
SA26703,FAM83A,6
SA26703,VPS26B,4
SA26703,NCAPD3,8
SA26703,DSPP,2
SA26703,TMPRSS11D,7
SA26703,PANX3,1
SA26703,TBRG1,8
SA26703,TTN,6
SA26703,ADCY9,5
SA26703,CCDC74A,8
SA26703,TMEM155,8
SA26703,KIF6,6
SA26703,PMPCA,5
SA26703,SMCO2,4
SA26703,ALKBH3,7
SA26703,ANPEP,6
SA26703,KIF5C,5
SA26703,TET2,9
SA26703,VSTM2A,9
SA26703,LRRC8C,2
SA26703,OR10K1,1
SA26703,C15orf53,1
SA26703,CMTR2,8
SA26703,USH1G,2
SA26703,OTOP2,3
SA26703,FREM3,2
SA26703,SRPK3,1
SA26703,ZNF75D,4
SA26703,ARAP1,1
SA26703,AGRN,7
SA26703,FAM166A,4
SA26703,TUBB4B,2
SA26703,SPTAN1,4
SA26703,ZNF81,3
SA26703,PLXNB3,12
SA26703,RPL12P1,1
SA26703,HLA-F,17
SA26703,RNU6-1257P,1
SA26703,IGLJ3,1
SA26703,IGLC3,1
SA26703,IGLJ4,1
SA26703,STARD10,18
SA26703,HLA-F-AS1,1
SA26703,POTEJ,1
SA26703,MED15P4,1
SA26703,HCG4P11,1
SA26703,,1
SA26703,GUSBP5,1
SA26703,TTN-AS1,9
SA26703,KIFC1,4
SA26703,RPL23AP1,1
SA26703,SPATA31D5P,2
SA26703,ALKBH3-AS1,4
SA26703,UBA6-AS1,1
SA26703,,1
SA26703,IGLC4,1
SA26703,,2
SA26703,RARSP1,1
SA26703,ESPNP,3
SA26703,,1
SA26703,,1
SA26811,CDH1,10
SA26811,HTATSF1,2
SA26811,KIAA1429,5
SA26811,LRRN3,4
SA26811,IMMP2L,8
SA26811,BAGE2,3
SA26811,TRIM49C,2
SA26811,SLFN14,1
SA26811,,1
SA26811,,1
SA26942,IFRD1,1
SA26942,SYNE2,11
SA26942,NGEF,2
SA26942,ZNF506,11
SA26942,MAP3K1,2
SA26942,UNC93B1,4
SA26942,CCKBR,6
SA26942,WNT5B,9
SA26942,SLC9A2,2
SA26942,LGALS8,12
SA26942,HEATR1,2
SA26942,YLPM1,7
SA26942,PIK3CA,1
SA26942,BAZ2B,9
SA26942,TMEM189-UBE2V1,1
SA26942,USHBP1,4
SA26942,CCL25,3
SA26942,PDHA1,9
SA26942,SCN2A,4
SA26942,FGF2,2
SA26942,ESR2,2
SA26942,TCF25,8
SA26942,FBN3,3
SA26942,ZNF614,1
SA26942,KLHL8,8
SA26942,PAM,20
SA26942,BDP1,3
SA26942,RECQL4,7
SA26942,LRRC14,9
SA26942,LCE3D,1
SA26942,SPTA1,3
SA26942,MTCL1,6
SA26942,NUDT6,8
SA26942,TANC2,3
SA26942,CD163L1,4
SA26942,LSMEM1,6
SA26942,ZNF749,2
SA26942,C10orf99,2
SA26942,NUDT11,1
SA26942,THEM5,2
SA26942,HIST1H2BK,2
SA26942,HRNR,1
SA26942,,1
SA26942,,1
SA26942,FOXD4L5,1
SA26942,MUC19,2
SA26942,NUTM2D,3
SA26942,,1
SA26942,,1
SA26942,,1
SA26942,,1
SA26942,FLG-AS1,2
SA26942,TMEM189,1
SA26942,UBE2V1,15
SA26942,LRRC24,2
SA26942,ZNF432,4
SA26942,,1
SA26942,MC1R,3
SA26942,,1
SA26942,MIR3143,1
SA26942,,1
SA26942,,2
SA26942,,1
SA26942,,1
SA26942,,1
SA26943,RABGAP1,12
SA26943,RHOA,10
SA26943,WAC,18
SA26943,ZNF516,8
SA26943,LAMA1,4
SA26943,MXRA5,4
SA26943,FRG1,10
SA26943,ARSB,8
SA26943,TAF1B,10
SA26943,TUBGCP2,7
SA26943,SYNE1,38
SA26943,EPRS,3
SA26943,CBWD2,7
SA26943,TP53,34
SA26943,TNFRSF21,2
SA26943,FGD2,20
SA26943,SDK1,8
SA26943,SLC16A2,3
SA26943,TENM4,2
SA26943,ACE,20
SA26943,VSTM4,4
SA26943,ZNF701,2
SA26943,SCN11A,4
SA26943,MUC17,6
SA26943,ALK,4
SA26943,SH2B1,6
SA26943,TUFM,8
SA26943,SKIDA1,6
SA26943,NEB,12
SA26943,FOXD4L1,1
SA26943,10-Sep,8
SA26943,ZNF548,24
SA26943,MTF1,2
SA26943,YRDC,2
SA26943,ZNF470,10
SA26943,C1orf122,10
SA26943,ZNF808,12
SA26943,,1
SA26943,,2
SA26943,,2
SA26943,,2
SA26943,,6
SA27003,IFRD1,2
SA27003,SYNE2,14
SA27003,WNK1,8
SA27003,ACAA1,18
SA27003,NGEF,4
SA27003,PPP2R5B,10
SA27003,ZNF506,22
SA27003,KDM2B,16
SA27003,MAP3K1,4
SA27003,SRSF5,40
SA27003,SLC10A1,2
SA27003,ADNP2,10
SA27003,EMD,18
SA27003,ZKSCAN1,10
SA27003,EHD1,16
SA27003,CCKBR,12
SA27003,WNT5B,18
SA27003,LGALS8,24
SA27003,HEATR1,4
SA27003,YLPM1,3
SA27003,PIK3CA,2
SA27003,TMEM189-UBE2V1,2
SA27003,CCL25,6
SA27003,LPIN3,8
SA27003,SCN2A,8
SA27003,FGF2,4
SA27003,ESR2,4
SA27003,ABHD2,8
SA27003,TTYH2,3
SA27003,FBN3,6
SA27003,ZNF614,2
SA27003,ALDH1L1,16
SA27003,BDP1,6
SA27003,HFM1,5
SA27003,RAD54L2,10
SA27003,TEX264,2
SA27003,UBAP1,14
SA27003,NOL6,14
SA27003,ZNF558,8
SA27003,SCN11A,8
SA27003,NUDT6,16
SA27003,ANKRD20A4,2
SA27003,MYD88,8
SA27003,CD163L1,8
SA27003,AMER3,8
SA27003,SNX18,6
SA27003,LSMEM1,12
SA27003,ATG9B,22
SA27003,EMILIN3,2
SA27003,ZNF749,4
SA27003,KIF24,8
SA27003,ZDHHC11,1
SA27003,NUDT11,2
SA27003,FLNA,28
SA27003,HIST1H2BK,4
SA27003,PFDN6,1
SA27003,KRT25,2
SA27003,ZDHHC11B,2
SA27003,,1
SA27003,MUC20P1,1
SA27003,,2
SA27003,TAPBP,1
SA27003,RGL2,12
SA27003,TMEM189,2
SA27003,UBE2V1,30
SA27003,ZNF432,8
SA27003,MIR3143,2
SA27003,,4
SA27003,,2
SA27003,,2
SA27003,ESPNP,3
SA27003,RNU1-30P,1
SA27216,WWTR1,7
SA27216,AGPAT4,4
SA27216,ZNF112,7
SA27216,GRIPAP1,7
SA27216,AGBL5,3
SA27216,MFSD11,14
SA27216,MAP3K1,4
SA27216,CBARP,5
SA27216,GSKIP,6
SA27216,LRP2BP,1
SA27216,UFSP2,5
SA27216,PPM1H,2
SA27216,CLEC4A,5
SA27216,SOD2,1
SA27216,PRRC2C,5
SA27216,INO80,3
SA27216,CFAP74,6
SA27216,PLK4,9
SA27216,PKP4,8
SA27216,GLRA3,3
SA27216,TBC1D32,4
SA27216,WTAP,2
SA27216,CLDN14,5
SA27216,SRSF2,11
SA27216,MEIOB,6
SA27216,DCLK3,2
SA27216,CCDC13-AS1,2
SA27216,FAHD1,2
SA27216,SLC25A42,6
SA27216,METTL23,13
SA27216,ANKRD37,6
SA27216,POTEF,4
SA27216,ZNF705A,1
SA27216,OR13G1,1
SA27216,ZNF461,9
SA27216,HRNR,1
SA27216,OR6X1,1
SA27216,RNU2-33P,1
SA27216,OST4,3
SA27216,OR3D1P,1
SA27216,,1
SA27216,,2
SA27216,POU5F1P3,2
SA27216,,1
SA27216,FLG-AS1,2
SA27216,WWTR1-AS1,3
SA27216,CCDC13,3
SA27216,RNU6-583P,1
SA27216,,1
SA27216,,1
SA27216,,1
SA27216,,1
SA27228,CDH1,20
SA27228,TDRD3,7
SA27228,EBF4,9
SA27228,SNAP23,16
SA27228,COMMD2,7
SA27228,FARSB,2
SA27228,SPACA1,3
SA27228,NPAS1,8
SA27228,PRDM16,10
SA27228,PADI3,1
SA27228,PADI1,5
SA27228,MUC4,12
SA27228,IL2RG,7
SA27228,FMN2,2
SA27228,SFXN2,13
SA27228,PTPN13,5
SA27228,MUC20,8
SA27228,MUC16,1
SA27228,SNRNP35,5
SA27228,FOXO4,4
SA27228,OR10J1,1
SA27228,RYR1,3
SA27228,IPO9,1
SA27228,OPA1,10
SA27228,CR1,6
SA27228,CXorf65,4
SA27228,PFDN6,7
SA27228,WDR46,7
SA27228,,1
SA27228,RGL2,7
SA27228,LINC00969,9
SA27228,,1
SA27228,,1
SA27437,GCLC,7
SA27437,NOS2,1
SA27437,CELSR3,2
SA27437,UBE3C,3
SA27437,FAM13B,4
SA27437,RANBP3,10
SA27437,ARID4B,9
SA27437,EPN1,6
SA27437,AHRR,3
SA27437,SPEN,2
SA27437,NGEF,3
SA27437,RPS6KA2,11
SA27437,AFF4,5
SA27437,CRMP1,5
SA27437,HACD3,9
SA27437,ACACB,3
SA27437,APBB1IP,2
SA27437,FKBP7,8
SA27437,TRPM3,15
SA27437,ABCB1,3
SA27437,RGS17,2
SA27437,CIRBP,43
SA27437,RASSF7,9
SA27437,TRMT2A,20
SA27437,RANBP1,8
SA27437,NKAIN4,1
SA27437,ARFGAP1,16
SA27437,KIF3B,2
SA27437,VWA8,2
SA27437,LONP2,4
SA27437,CAPS,6
SA27437,RUNDC3B,7
SA27437,PHF14,6
SA27437,CEP72,5
SA27437,EHHADH,2
SA27437,AUP1,8
SA27437,HTRA2,10
SA27437,LOXL3,6
SA27437,DNAH6,2
SA27437,CNPPD1,4
SA27437,PLEKHA3,3
SA27437,TTF2,3
SA27437,ADGRB2,19
SA27437,FYTTD1,8
SA27437,ADGRE5,13
SA27437,CDH26,2
SA27437,THRA,4
SA27437,NR1D1,1
SA27437,PTPRB,9
SA27437,ADGRE2,17
SA27437,MACF1,12
SA27437,RASL11B,3
SA27437,DGCR8,7
SA27437,FLNC,3
SA27437,WDFY4,3
SA27437,TTI2,4
SA27437,AOC3,5
SA27437,AOC2,2
SA27437,NMUR2,2
SA27437,USPL1,2
SA27437,EPHB2,4
SA27437,PRPF38B,5
SA27437,STX6,4
SA27437,NUPL2,9
SA27437,FLOT1,3
SA27437,MMP13,2
SA27437,TP53,17
SA27437,IL22RA1,1
SA27437,FLG2,1
SA27437,DQX1,6
SA27437,SHROOM2,2
SA27437,POLE3,4
SA27437,CAST,31
SA27437,NUP205,6
SA27437,PAXIP1,7
SA27437,C9orf43,3
SA27437,COPG2,2
SA27437,STARD9,3
SA27437,ATF3,9
SA27437,IER5,1
SA27437,PCDH19,4
SA27437,SCG5,4
SA27437,UGT1A6,5
SA27437,,4
SA27437,HAS2,1
SA27437,LRRC8C,3
SA27437,OR5T3,1
SA27437,FAM21C,5
SA27437,RARG,10
SA27437,ADCY5,6
SA27437,CCDC168,1
SA27437,SLC35G1,1
SA27437,UMODL1,7
SA27437,PLEC,10
SA27437,PRF1,2
SA27437,PIPSL,3
SA27437,PPA1,5
SA27437,F2R,1
SA27437,SGSH,17
SA27437,OR52D1,1
SA27437,RGS7,10
SA27437,OVCH2,3
SA27437,RBM33,5
SA27437,LMNTD2,4
SA27437,RASA3,2
SA27437,FFAR4,3
SA27437,TMEM220,6
SA27437,ZNF79,2
SA27437,TUBB,5
SA27437,SIAH1,7
SA27437,HBG2,2
SA27437,PCBP2,26
SA27437,ZNF615,9
SA27437,RPL12,5
SA27437,VPS13A,5
SA27437,MAK16,2
SA27437,ARHGAP11A,7
SA27437,SNORA65,1
SA27437,MUC12,2
SA27437,DENND1C,13
SA27437,KRTAP5-1,1
SA27437,IGKV3D-20,1
SA27437,TRGJ1,1
SA27437,TRGJP,1
SA27437,TRGJP1,1
SA27437,TSGA13,2
SA27437,SLC23A3,13
SA27437,HBE1,2
SA27437,EML6,2
SA27437,MIR1913,1
SA27437,EHHADH-AS1,1
SA27437,FRG2B,2
SA27437,KRTAP5-AS1,4
SA27437,FLG-AS1,2
SA27437,UGT1A5,1
SA27437,UGT1A9,1
SA27437,UGT1A1,6
SA27437,UGT1A8,1
SA27437,UGT1A10,2
SA27437,,1
SA27437,UGT1A3,1
SA27437,,1
SA27437,UGT1A7,1
SA27437,UGT1A4,2
SA27437,MIR210HG,1
SA27437,,1
SA27437,,1
SA27437,PDCD6,9
SA27437,RNU7-81P,1
SA27437,PRKDC,4
SA27437,,1
SA27437,,3
SA27437,,1
SA27437,TMEM220-AS1,7
SA27437,,1
SA27437,,1
SA27437,CIRBP-AS1,2
SA27437,,1
SA27437,,1
SA27437,,1
SA27437,,1
SA27461,GCLC,7
SA27461,NOS2,1
SA27461,CELSR3,2
SA27461,UBE3C,3
SA27461,FAM13B,4
SA27461,RANBP3,10
SA27461,ATP6V0A1,14
SA27461,ARID4B,9
SA27461,EPN1,6
SA27461,AHRR,3
SA27461,SPEN,2
SA27461,NGEF,3
SA27461,MYO9A,8
SA27461,RPS6KA2,11
SA27461,AFF4,5
SA27461,CRMP1,5
SA27461,HACD3,9
SA27461,WNT8B,1
SA27461,SEC31B,7
SA27461,ACACB,3
SA27461,APBB1IP,2
SA27461,FKBP7,8
SA27461,ABCB1,3
SA27461,RGS17,2
SA27461,CIRBP,43
SA27461,RASSF7,9
SA27461,TRMT2A,20
SA27461,RANBP1,8
SA27461,NKAIN4,1
SA27461,ARFGAP1,16
SA27461,KIF3B,2
SA27461,VWA8,2
SA27461,LONP2,4
SA27461,RNF40,10
SA27461,TJP1,5
SA27461,NDRG1,14
SA27461,KCNN4,6
SA27461,CAPS,6
SA27461,RUNDC3B,7
SA27461,ZNF451,15
SA27461,EHHADH,2
SA27461,AUP1,8
SA27461,HTRA2,10
SA27461,LOXL3,6
SA27461,DNAH6,2
SA27461,CNPPD1,4
SA27461,PLEKHA3,3
SA27461,TTF2,3
SA27461,ADGRB2,19
SA27461,FYTTD1,8
SA27461,CDH26,2
SA27461,PTPRB,9
SA27461,ADGRE2,17
SA27461,MACF1,12
SA27461,DGCR8,7
SA27461,KRT17,6
SA27461,FLNC,3
SA27461,WDFY4,3
SA27461,ISLR,4
SA27461,TTI2,4
SA27461,NMUR2,2
SA27461,USPL1,2
SA27461,EPHB2,4
SA27461,PRPF38B,5
SA27461,NOTCH2,2
SA27461,NUPL2,9
SA27461,FLOT1,3
SA27461,MMP13,2
SA27461,STRA6,13
SA27461,RHOF,3
SA27461,TP53,17
SA27461,CFAP74,3
SA27461,IL22RA1,1
SA27461,NME7,8
SA27461,FLG2,1
SA27461,DQX1,6
SA27461,CDCA7,18
SA27461,SHROOM2,2
SA27461,POLE3,4
SA27461,TEKT5,3
SA27461,C16orf87,4
SA27461,NUP205,6
SA27461,PHKG2,5
SA27461,GHRL,17
SA27461,PAXIP1,7
SA27461,C9orf43,3
SA27461,COPG2,2
SA27461,STARD9,3
SA27461,SYNC,4
SA27461,ATF3,9
SA27461,ANKRD23,1
SA27461,ZC3H12A,3
SA27461,PCDH19,4
SA27461,ILK,17
SA27461,TAF10,5
SA27461,TPP1,2
SA27461,,4
SA27461,CNNM3,5
SA27461,HAS2,1
SA27461,LRRC8C,3
SA27461,OR5T3,1
SA27461,FAM21C,5
SA27461,RARG,10
SA27461,ADCY5,6
SA27461,JUP,1
SA27461,CCDC168,1
SA27461,SLC35G1,1
SA27461,UMODL1,7
SA27461,PLEC,10
SA27461,PIPSL,3
SA27461,PPA1,5
SA27461,F2R,1
SA27461,SGSH,17
SA27461,OR52D1,1
SA27461,RGS7,10
SA27461,OVCH2,3
SA27461,RBM33,5
SA27461,LMNTD2,4
SA27461,RASA3,2
SA27461,FFAR4,3
SA27461,TMEM220,6
SA27461,TMEM120B,7
SA27461,CCDC189,12
SA27461,ZNF79,2
SA27461,TUBB,5
SA27461,SIAH1,7
SA27461,HBG2,2
SA27461,PCBP2,26
SA27461,SSPO,6
SA27461,RPL12,5
SA27461,VPS13A,5
SA27461,MAK16,2
SA27461,SNORA65,1
SA27461,MUC12,2
SA27461,DENND1C,13
SA27461,RNU6-614P,1
SA27461,IGKV3D-20,1
SA27461,TRGJ1,1
SA27461,TRGJP,1
SA27461,TRGJP1,1
SA27461,TSGA13,2
SA27461,SLC23A3,13
SA27461,HBE1,2
SA27461,KRT42P,6
SA27461,EML6,2
SA27461,MIR1913,1
SA27461,EHHADH-AS1,1
SA27461,ANKRD30BP2,4
SA27461,LINC00852,2
SA27461,HMGN2P5,1
SA27461,,2
SA27461,FLG-AS1,2
SA27461,GHRLOS,4
SA27461,,1
SA27461,,1
SA27461,MIR210HG,1
SA27461,,1
SA27461,PDCD6,9
SA27461,RNU7-81P,1
SA27461,PRKDC,4
SA27461,,1
SA27461,AP5B1,1
SA27461,,1
SA27461,,1
SA27461,,3
SA27461,,1
SA27461,,1
SA27461,,1
SA27461,,1
SA27461,TMEM220-AS1,7
SA27461,,1
SA27461,CIRBP-AS1,2
SA27461,,1
SA27461,,1
SA27461,,1
SA27461,,2
SA27461,,1
SA27593,KDM7A,4
SA27593,IDS,8
SA27593,HGF,2
SA27593,ARID1B,5
SA27593,TBXAS1,10
SA27593,PARP12,9
SA27593,NAV3,8
SA27593,RIF1,10
SA27593,SI,2
SA27593,BRD1,14
SA27593,RBM23,32
SA27593,TRIP11,2
SA27593,CELF4,21
SA27593,POLI,9
SA27593,KLF8,5
SA27593,MAP4K1,10
SA27593,ZNF419,17
SA27593,SLC25A11,5
SA27593,FXR1,12
SA27593,ZNF549,2
SA27593,CD80,5
SA27593,HS3ST2,2
SA27593,PDE1B,8
SA27593,CHD6,3
SA27593,ZNF133,11
SA27593,SYT11,2
SA27593,MUTYH,37
SA27593,DPF2,6
SA27593,PPP1R1A,1
SA27593,BTG4,3
SA27593,ENTPD1,6
SA27593,INHBE,1
SA27593,TARBP2,20
SA27593,NPFF,2
SA27593,MAP3K12,5
SA27593,CDH11,3
SA27593,TP53,17
SA27593,DOCK1,1
SA27593,GRM1,6
SA27593,ABCA10,5
SA27593,ICOSLG,4
SA27593,CCDC27,2
SA27593,PIGR,3
SA27593,NIPAL1,5
SA27593,IFI16,14
SA27593,WDFY3,3
SA27593,CAGE1,9
SA27593,ZFYVE1,9
SA27593,OR5I1,1
SA27593,NMD3,10
SA27593,TM4SF1,4
SA27593,EMB,5
SA27593,ATF7,1
SA27593,TIGD3,1
SA27593,,1
SA27593,SEZ6L2,7
SA27593,INHBC,1
SA27593,RTTN,6
SA27593,NCKAP5,5
SA27593,CIITA,8
SA27593,ARHGAP45,14
SA27593,MRPS11,10
SA27593,GP1BA,1
SA27593,HPDL,1
SA27593,IFT140,4
SA27593,FAM196A,2
SA27593,ZNF502,4
SA27593,DUSP27,3
SA27593,ANKRD28,7
SA27593,ZNF254,6
SA27593,ENTPD1-AS1,2
SA27593,,1
SA27593,,1
SA27593,TM4SF1-AS1,2
SA27593,,2
SA27593,ZNF550,7
SA27593,,1
SA27593,DPP3,16
SA27593,MRPL46,5
SA27593,,1
SA27593,,1
SA27593,,2
SA27593,,2
SA27593,,1
SA27593,,2
SA27593,,1
SA27593,,1
SA27653,C1orf112,1
SA27653,TSPOAP1,8
SA27653,COX10,6
SA27653,MBTPS2,2
SA27653,SAMD4A,5
SA27653,NRXN3,6
SA27653,GRAMD1B,7
SA27653,UBR2,3
SA27653,PRKCH,8
SA27653,APBA2,7
SA27653,MYOM2,3
SA27653,TG,8
SA27653,FSTL4,3
SA27653,GALC,7
SA27653,ZC3H11A,8
SA27653,CTSA,12
SA27653,MTFR1,14
SA27653,SP100,14
SA27653,COASY,16
SA27653,ST6GALNAC1,7
SA27653,ZZEF1,4
SA27653,KCNQ2,10
SA27653,TMEM131,3
SA27653,TRAF4,10
SA27653,ITM2A,5
SA27653,BRINP1,2
SA27653,CPB2,2
SA27653,PCDHGA2,2
SA27653,ZNF586,4
SA27653,APOB,2
SA27653,HUWE1,4
SA27653,SLC4A11,6
SA27653,CDV3,9
SA27653,HDAC6,24
SA27653,MSH2,3
SA27653,CREM,37
SA27653,PALMD,3
SA27653,TTC28,1
SA27653,TM9SF1,13
SA27653,PLTP,6
SA27653,CEP192,10
SA27653,SGCG,3
SA27653,ZNF423,7
SA27653,EEF2K,2
SA27653,IKBKB,19
SA27653,ZNF419,17
SA27653,LGALS13,3
SA27653,PDE4C,10
SA27653,OGDH,6
SA27653,LSM5,10
SA27653,LHX2,4
SA27653,LIPA,5
SA27653,XPNPEP1,24
SA27653,MLX,11
SA27653,ABCC3,11
SA27653,MYH1,1
SA27653,TRIM2,3
SA27653,CD5,2
SA27653,PITPNM1,13
SA27653,PRDM4,4
SA27653,ATP5B,13
SA27653,MRPL18,4
SA27653,PCDHB2,1
SA27653,PCDHB3,1
SA27653,SLC12A7,4
SA27653,HRH2,2
SA27653,GALNT3,5
SA27653,COQ10B,4
SA27653,PRKD3,6
SA27653,PLEK,2
SA27653,CTBS,4
SA27653,BLZF1,4
SA27653,RAB3GAP2,1
SA27653,PCDH17,4
SA27653,TRIM67,4
SA27653,TCP1,15
SA27653,TGFBI,11
SA27653,UTP20,1
SA27653,CSMD2,2
SA27653,SPATA1,5
SA27653,ECD,7
SA27653,GIPC1,14
SA27653,ZC3H13,3
SA27653,MCEE,3
SA27653,MPHOSPH10,3
SA27653,SYMPK,9
SA27653,SDCBP2,3
SA27653,ITPA,8
SA27653,RALY,10
SA27653,AHDC1,4
SA27653,MYO5C,4
SA27653,SHBG,20
SA27653,TEP1,10
SA27653,ATP8B3,6
SA27653,KIF3A,6
SA27653,TRIM5,2
SA27653,DMGDH,7
SA27653,FAM104A,5
SA27653,TEX15,2
SA27653,LPIN1,6
SA27653,HRH4,2
SA27653,GNL2,4
SA27653,ZC3H10,5
SA27653,KIAA1614,2
SA27653,CEP350,1
SA27653,ALDH1L2,4
SA27653,YME1L1,7
SA27653,TLR4,7
SA27653,GABBR2,1
SA27653,SIT1,3
SA27653,CD72,1
SA27653,CPEB2,9
SA27653,MYO7A,7
SA27653,ARRB1,10
SA27653,SQRDL,7
SA27653,BRDT,11
SA27653,PREPL,11
SA27653,CYP2C9,1
SA27653,KIF20B,5
SA27653,FAM149B1,1
SA27653,FASTKD1,5
SA27653,TCHP,6
SA27653,ESYT1,1
SA27653,TLE3,22
SA27653,CPNE2,7
SA27653,C17orf80,9
SA27653,CLTC,5
SA27653,SAT2,14
SA27653,ANAPC11,19
SA27653,APP,12
SA27653,SIGLEC10,13
SA27653,UCK2,7
SA27653,HMCN1,2
SA27653,FLG2,1
SA27653,CNGA3,5
SA27653,ANKMY1,20
SA27653,ITGA9,2
SA27653,CDHR1,4
SA27653,ZC3H12C,3
SA27653,SIDT2,14
SA27653,CNBD2,4
SA27653,ALDOA,25
SA27653,FCGR1A,3
SA27653,CDH8,7
SA27653,PLEKHH2,3
SA27653,CACNA2D1,6
SA27653,WNT3A,2
SA27653,ZCCHC10,9
SA27653,TTN,8
SA27653,PDIA4,2
SA27653,SPAG17,2
SA27653,BRE,5
SA27653,TPPP3,5
SA27653,ZDHHC1,5
SA27653,NEK8,3
SA27653,PTGER1,1
SA27653,KRT82,1
SA27653,WDFY3,3
SA27653,FYCO1,2
SA27653,ZMYM6,3
SA27653,ANXA5,7
SA27653,LSM6,6
SA27653,COL1A2,5
SA27653,INTS1,3
SA27653,SLC4A2,13
SA27653,FASTK,13
SA27653,TMEM246,3
SA27653,MBL2,1
SA27653,EML5,8
